topic,cutoff,id,slot,label,parent,count,doc_frac,first_seen,recent_count,background,emerging,variants
llm_long_context,2025-06,object:long-context language model,object,long-context language model,language model,72,0.2257,2024-10-31,27,True,False,long context language model | long-context language model evaluation | long-context language model inference | long-context language model serving | long-context language model training | long-context language modeling | long-context modeling
llm_long_context,2025-06,object:model inference,object,model inference,model inference,44,0.1379,2024-10-31,24,False,False,autoregressive transformer inference | batch-wise large language model inference | cloud-based large language model inference | decoder-only transformer inference | decoder-only transformer reasoning | disaggregated large language model inference | frozen language model inference | high-throughput large language model inference | language model inference | large language model decoding | large language model inference acceleration | large language model inference scheduling | large language model inference throughput | linear rnn inference | long-context language model decoding | long-context language model prefilling | long-context prefill | long-context transformer decoding | long-context transformer inference | low-bitwidth inference | low-rank adaptation inference | multi-lora inference | multimodal large language model inference | parallel large language model inference | pre-filling phase | processing-in-memory decoding | quantized language model inference | recurrent language model inference | single-gpu inference | tensor attention decoding | test-time reasoning scaling | transformer autoregressive inference | transformer inference | transformer layer inference | transformer long-context modeling | video generation inference | vision-language model inference | vision-language model reasoning
llm_long_context,2025-06,object:attention mechanism,object,attention mechanism,attention mechanism,40,0.1254,2024-10-31,16,False,False,adaptive sparse attention | attention approximation | attention head analysis | attention head dimension utilization | attention head functionality | attention head importance evaluation | attention mask extension | attention sink phenomenon | attention steering | binarized attention mechanism | concurrent attention cache | differential attention mechanism | differential attention transformer | flash attention extension | grouped-query attention | grouped-query attention conversion | linear attention language model | linear attention transformer | long-context attention | multi-head attention | multi-head latent attention | prefix-aware attention | retrieval-augmented attention | segment-level attention | self-attention computation | self-attention mechanism | self-attention replacement | softmax attention | sparse attention acceleration | sparse attention inference | sparse attention mapping | tensor attention transformer | transformer addressing | transformer attention | transformer attention mechanism | transformer self-attention | vision attention mechanism
llm_long_context,2025-06,mechanism:attention mechanism,mechanism,attention mechanism,attention mechanism,33,0.1034,2024-10-31,15,False,False,attention aggregation strategy | attention on compressed state | bayesian attention mechanism | core context aware attention | decomposed attention | differential-integral attention | dynamic token importance search | efficient attention integration | fft-based spectral attention | flash attention | forget gate attention | generalized spatial propagation network | globality-pooling attention | hyperbolic multi-head latent attention | initial-state-only attention | locality-preserved attention | long compressed segmented attention | mixture of experts attention | multi-host approximate attention | multi-scale attention | paged attention | per-head soft voting | progressive sparse attention | retrieval attention probing | ring attention | scale-invariant attention | selective attention layer | short sliding window attention | sigmoid attention | sliding window attention | sliding window attention compression | sparse attention masking | static sparse attention | tensor attention | tensor product attention | time attention
llm_long_context,2025-06,problem:kv cache memory growth,problem,kv cache memory growth,memory footprint,33,0.1034,2024-10-31,15,False,False,kv cache memory capacity pressure
llm_long_context,2025-06,problem:kv cache memory footprint,problem,kv cache memory footprint,memory footprint,28,0.0878,2024-10-31,13,False,False,kv cache memory capacity | kv cache memory constraint | kv cache memory consumption | kv cache memory demand | kv cache memory overhead | kv-cache memory consumption
llm_long_context,2025-06,object:kv cache compression,object,kv cache compression,model compression,24,0.0752,2024-10-31,9,False,False,kv-cache compression
llm_long_context,2025-06,mechanism:quantization,mechanism,quantization,quantization,19,0.0596,2024-10-31,7,False,False,2-bit layer-discriminative quantization | 2-bit weight quantization | 4-bit query-key product quantization | attention-sink-aware quantization | complementary quantization scheme | floating-point quantization | headwise attention quantization | heterogeneous key-value quantization | high-precision weight-only quantization | hybrid activation quantization | key-query binarization | learnable non-uniform weight quantizer | low-precision activation-weight quantization | nested lattice quantization | normal distribution based quantization | polar transformation quantization | post-training weight quantization | subspace-orthogonal quantization | two-stage unbiased quantization | weight quantization | weight-activation-kv cache quantization
llm_long_context,2025-06,object:retrieval-augmented generation,object,retrieval-augmented generation,retrieval-augmented generation,17,0.0533,2024-10-31,5,False,False,graph-based retrieval | graph-based retrieval-augmented generation | in-context retrieval and reasoning | memory-augmented retrieval | retrieval augmented generation | retrieval-augmented generation pipeline | retrieval-based framework
llm_long_context,2025-06,problem:computational cost,problem,computational cost,computational cost,17,0.0533,2024-10-31,5,False,False,attention computation cost | attention computation efficiency | attention computation overhead | attention computational cost | attention quadratic cost in vision | backpropagation computational cost | context length cost | context length memory cost | high computational cost | long-context computational cost | long-context inference cost | multi-agent system runtime cost | quadratic generation cost | quadratic self-attention cost | self-attention quadratic cost | softmax attention cost
